"transE_high_s47"	"transE_low_s45"	"transE_medium_s46"	"transE_pre_s48"
"ARRDC4"	11700	8422	14782	11363
"ARSA"	208	168	299	362
"ARSB"	12317	12551	8633	15802
"ARSD"	4753	6591	8651	6203
"ARSE"	850	1230	1938	1758
"ARSF"	2974	2816	3066	3341
"ARSG"	2724	1215	2007	1935
"ARSH"	6296	4415	3600	5709
"ARSI"	1288	1456	2009	1523
"ARSJ"	38	0	0	0
"ARSK"	6687	6001	3731	8093
"ART1"	2299	2358	4573	3169
"ART3"	3070	2091	2121	3259
"ART5"	2429	3654	3964	3317
"ARTN"	561	295	736	401
"ARX"	2371	1489	3174	2566
"ASAH1"	190	610	412	438
"ASAH2"	735	277	621	374
"ASAP2"	74	383	71	0
"ASAP3"	0	0	0	66
"ASB1"	179	389	573	769
"ASB10"	5173	4526	12111	7199
"ASB11"	289	360	232	343
"ASB12"	562	422	260	242
"ASB13"	336	914	875	980
"ASB14"	3865	3604	6696	4554
"ASB15"	2044	1427	3065	2730
"ASB17"	101	95	50	309
"ASB18"	0	97	64	49
"ASB3"	7083	3464	4626	6377
"ASB4"	274	0	304	123
"ASB5"	1935	2880	5334	2395
"ASB6"	579	0	306	348
"ASB7"	654	1986	1979	1427
"ASB8"	224	37	107	247
"ASCC1"	165	363	349	788
"ASCC2"	201	426	108	139
"ASCL1"	87	460	337	317
"ASCL2"	79	47	44	77
"ASCL5"	0	0	39	0
"ASF1B"	1580	1415	1598	1823
"ASGR1"	897	699	1286	1502
"ASGR2"	1496	1733	2774	1301
"ASH1L"	3822	3896	4004	4886
"ASIC1"	32	0	178	173
"ASIC2"	55	64	80	199
"ASIC3"	790	364	641	712
"ASIC4"	1121	1242	598	756
"ASIP"	160	0	26	73
"ASL"	108	171	94	78
"ASMTL"	1852	1243	3115	1834
"ASNA1"	48	0	0	0
"ASNSD1"	543	508	749	1120
"ASPDH"	456	1018	903	1393
"ASPH"	1090	1732	1476	1977
"ASPHD1"	1119	1684	1369	1773
"ASPRV1"	4925	5705	6641	4707
"ASS1"	97	140	299	236
"ASTE1"	535	152	353	716
"ASTL"	69	0	0	0
"ASTN1"	3718	3739	4055	4886
"ASTN2"	15235	11827	13894	13166
"ASUN"	17486	17791	2792	17362
"ASXL1"	7076	5741	8131	9730
"ASXL2"	5787	5407	14787	7111
"ASXL3"	164	413	937	827
"ASZ1"	0	0	5	0
"ATAD2"	1575	872	1567	2284
"ATAD2B"	802	1263	1038	2344
"ATAD3A"	378	598	979	1063
"ATAD5"	5160	3151	1702	4030
"ATAT1"	53	68	69	118
"ATCAY"	665	1017	568	645
"ATE1"	4408	5719	5631	5929
"ATF1"	171	404	387	235
"ATF2"	38	0	8	0
"ATF3"	7240	2482	4896	5187
"ATF4"	1044	451	475	935
"ATF5"	2771	2867	2972	2457
"ATF7"	2230	2033	3047	2084
"ATF7IP"	38624	44140	54443	46840
"ATG101"	132	1	140	132
"ATG13"	0	0	93	0
"ATG16L2"	186	218	171	148
"ATG2A"	192	92	256	0
"ATG2B"	742	688	808	561
"ATG3"	1045	1265	685	2045
"ATG4A"	4029	4241	2199	4407
"ATG4B"	250	371	515	811
"ATG4C"	911	665	765	1358
"ATG4D"	35	144	55	127
"ATG5"	254	443	333	799
"ATG9A"	2996	3560	4490	2886
"ATIC"	0	0	45	9
"ATL1"	102	0	53	4
"ATL3"	1092	3253	938	1517
"ATM"	0	96	0	0
"ATN1"	101	144	150	76
"ATOH1"	346	156	51	256
"ATOH7"	3167	2328	5102	4010
"ATOX1"	691	763	1439	1744
"ATP10A"	543	524	248	243
"ATP10B"	34	74	257	1
"ATP10D"	2943	3762	1465	3748
"ATP11A"	57	0	62	77
"ATP11AUN"	95	64	126	123
"ATP11B"	67	82	43	128
"ATP12A"	319	838	295	520
"ATP13A2"	5238	5976	5099	8194
"ATP1A1"	85	0	20	143
"ATP1A2"	191	762	362	894
"ATP1A3"	302	621	426	590
"ATP1A4"	19637	11944	21049	16281
"ATP1B1"	800	601	776	835
"ATP1B2"	107	434	196	214
"ATP1B3"	117	139	295	47
"ATP1B4"	0	0	22	2
"ATP2A1"	120	0	86	0
"ATP2A2"	87	161	47	112
"ATP2B2"	10182	6074	9012	9294
"ATP2B4"	1499	1034	355	597
"ATP2C1"	1577	1922	1864	2034
"ATP2C2"	0	55	35	42
"ATP4B"	78	266	133	0
"ATP5E"	0	0	0	154
"ATP5G1"	173	227	225	526
"ATP5G2"	1535	1223	2004	2923
"ATP5G3"	1265	562	916	631
"ATP5I"	6036	3772	7130	5056
"ATP5J"	2020	3387	1556	1951
"ATP5L"	22441	23409	54849	35169
"ATP5L2"	88	143	195	217
"ATP5O"	61	0	0	0
"ATP5S"	7248	7090	5838	7014
"ATP5SL"	40	0	24	0
"ATP6AP1L"	14821	13181	15342	14269
"ATP6V0A1"	1430	1449	811	1446
"ATP6V0A2"	1246	988	827	344
"ATP6V0A4"	966	5905	2840	2985
"ATP6V0B"	537	673	358	921
"ATP6V0D1"	370	165	977	679
"ATP6V0D2"	19	52	69	289
"ATP6V0E2"	2307	2307	2760	3368
"ATP6V1B1"	536	1043	1290	686
"ATP6V1B2"	1505	1558	2203	1615
"ATP6V1D"	79	42	35	0
"ATP6V1E2"	2439	2563	1858	2996
"ATP6V1G2"	81	0	0	0
"ATP6V1G3"	34	58	11	19
"ATP7B"	0	0	304	110
"ATP8A1"	259	386	136	918
"ATP8A2"	362	604	360	686
"ATP8B1"	4944	6659	5168	8019
"ATP8B2"	0	0	133	114
"ATP8B3"	749	826	798	550
"ATP8B4"	8665	6477	5041	7282
"ATP9A"	950	201	754	564
"ATPAF1"	370	308	128	278
"ATPAF2"	18351	17497	17239	18810
"ATPIF1"	1207	411	1119	879
"ATRAID"	8676	6352	10457	6696
"ATRN"	0	190	173	138
"ATRNL1"	2574	2082	1444	2627
"ATRX"	75	58	9	55
"ATXN1"	342	177	296	419
"ATXN10"	688	461	412	416
"ATXN1L"	8077	4263	5842	5371
"ATXN2"	29	0	0	0
"ATXN3L"	1344	1738	558	1845
"ATXN7L1"	1230	1108	2086	1980
"ATXN7L2"	0	0	54	49
"ATXN7L3B"	178	466	134	227
"AUH"	4040	2924	940	2183
"AUNIP"	48	92	107	284
"AUP1"	656	214	632	853
"AURKB"	5527	6369	10405	7644
"AURKC"	5714	6285	10428	7512
"AUTS2"	331	428	57	307
"AVIL"	497	2662	1274	1675
"AVPR1A"	1833	771	3218	1453
"AVPR1B"	125	343	59	84
"AVPR2"	748	1373	1330	1091
"AWAT1"	83	130	189	144
"AXDND1"	1494	2133	2005	1483
"AXIN2"	1222	796	1513	1092
"AZGP1"	471	273	733	756
"AZIN2"	611	231	351	266
"AZU1"	10407	4187	9491	6582
"B2M"	0	306	110	189
"B3GALNT1"	960	629	213	790
"B3GALNT2"	83	798	438	557
"B3GALT1"	246	168	144	92
"B3GALT4"	5791	3355	9746	5221
"B3GALT6"	1940	3012	4715	2449
"B3GALTL"	683	179	167	170
"B3GAT1"	3097	872	3251	2264
"B3GAT2"	552	575	1002	712
"B3GAT3"	65	198	247	250
"B3GNT4"	89	375	53	304
"B3GNT5"	228	89	324	55
"B3GNT6"	59	2606	2761	1147
"B3GNT7"	59	0	0	62
"B3GNT8"	536	366	541	235
"B3GNT9"	315	469	961	825
"B3GNTL1"	5519	5967	7553	7605
"B4GALNT2"	70	1661	363	444
"B4GALNT4"	1313	2499	2602	1948
"B4GALT1"	28	1239	721	882
"B4GALT6"	2644	1903	1284	2735
"B4GALT7"	87	2041	802	821
"B4GAT1"	23	0	0	0
"B9D2"	5654	6411	8409	7462
"BAALC"	1789	2201	2470	2070
"BAAT"	885	2035	1964	1969
"BABAM1"	700	477	1045	1453
"BACE1"	700	440	521	241
"BACE2"	1724	744	880	1297
"BACH2"	89	140	117	202
"BAD"	3829	2774	3512	3256
"BAG3"	3381	1090	3934	1954
"BAG4"	420	376	266	189
"BAG5"	231	175	501	200
"BAG6"	26	43	48	0
"BAGE2"	3910	3651	3220	4916
"BAHCC1"	546	496	1370	1103
"BAHD1"	106	1889	1223	1066
"BAIAP2"	507	150	900	309
"BAIAP2L1"	620	1860	1998	1443
"BAIAP2L2"	3016	3493	4394	5182
"BANF1"	10577	5593	6610	7826
"BANF2"	3897	3727	4430	4971
"BANK1"	2568	1992	944	2404
"BANP"	15	0	24	250
"BAP1"	516	2141	2651	890
"BARHL2"	634	817	424	743
"BARX1"	45	75	161	132
"BARX2"	19639	11900	31701	22274
"BASP1"	2921	2587	5401	3547
"BATF"	885	2566	1802	1896
"BATF2"	289	492	891	431
"BATF3"	1734	1953	1511	1382
"BAX"	90	35	62	50
"BAZ1A"	98	0	0	0
"BAZ2A"	1971	1828	2431	2202
"BAZ2B"	3388	3164	4669	4267
"BBIP1"	1582	1748	1124	1980
"BBOX1"	221	0	14	123
"BBS1"	21	263	2	110
"BBS10"	2680	4436	634	3726
"BBS12"	1631	1685	611	1454
"BBS5"	2516	2738	315	2801
"BBS9"	26	464	187	207
"BBX"	642	61	487	47
"BCAM"	3972	5673	8119	5227
"BCAN"	240	56	124	170
"BCAP29"	1495	1116	746	1684
"BCAR3"	17299	14405	20613	15554
"BCAS4"	1847	1599	2768	2857
"BCAT2"	239	942	1304	355
"BCHE"	139	467	114	170
"BCKDHA"	556	406	474	771
"BCKDK"	881	514	980	930
"BCL10"	175	313	6	220
"BCL11A"	1067	451	747	817
"BCL11B"	5629	5031	10680	5473
"BCL2"	4735	4321	6259	4884
"BCL2A1"	624	360	447	479
"BCL2L1"	481	845	473	858
"BCL2L10"	0	201	0	0
"BCL2L11"	1182	20096	13028	13031
"BCL2L12"	635	423	935	1042
"BCL2L14"	8578	7982	8025	11746
"BCL2L15"	1959	1848	2864	2162
"BCL2L2"	3717	4982	4974	6241
"BCL6"	10595	9213	15326	10974
"BCL6B"	517	480	787	717
"BCL7A"	1045	362	642	891
"BCL7B"	3616	3215	8848	5703
"BCL7C"	1	49	67	0
"BCL9"	0	0	97	0
"BCO2"	55	0	70	55
"BCOR"	291	0	158	148
"BDH1"	3517	2980	5214	3004
"BDH2"	2743	2972	1674	3389
"BDKRB1"	2789	3019	5373	3640
"BDKRB2"	831	826	1160	948
"BEAN1"	2017	3609	8585	3813
"BECN2"	27	0	0	0
"BEGAIN"	22	0	5	0
"BEND5"	2003	800	1812	1262
"BEND6"	4260	7202	3010	4991
"BEND7"	0	0	2	0
"BEST2"	2520	2509	6225	3002
"BEST4"	2	1	1	1
"BEX1"	2540	3247	1524	3120
"BEX2"	13389	12734	13037	13915
"BEX4"	0	0	3	118
"BEX5"	13691	15617	20768	18788
"BFAR"	1009	2087	1823	1055
"BFSP1"	48	0	25	0
"BFSP2"	0	0	27	73
"BGLAP"	21674	18255	32728	22826
"BHLHA15"	807	112	718	510
"BHLHA9"	835	1181	2416	1664
"BHLHB9"	6084	5939	1471	5989
"BHLHE22"	428	372	353	291
"BHLHE23"	826	340	1359	526
"BHLHE40"	13126	8113	15565	13920
"BHLHE41"	0	0	48	0
"BHMT"	2720	2515	3675	2846
"BHMT2"	580	938	742	1068
"BICC1"	1546	1265	811	1287
"BICD2"	1538	940	2432	1612
"BID"	6607	6822	10667	7658
"BIK"	1749	2085	2669	1577
"BIN1"	0	185	38	0
"BIN2"	669	792	609	407
"BIRC5"	104	0	43	72
"BIRC6"	4437	2920	2522	3234
"BIRC8"	3879	4568	3495	5568
"BIVM"	484	224	147	470
"BIVM-ERCC5"	86	0	0	0
"BLCAP"	451	592	550	423
"BLID"	35	129	50	58
"BLK"	302	180	212	261
"BLM"	108	40	43	189
"BLMH"	387	73	126	361
"BLNK"	2978	3156	5875	4331
"BLOC1S2"	2481	1818	387	2545
"BLOC1S3"	1482	1294	1692	1443
"BLOC1S4"	7350	6803	12649	8543
"BLOC1S6"	35	0	16	0
"BLZF1"	2096	2453	3265	2254
"BMF"	468	617	724	198
"BMI1"	14	0	0	0
"BMP1"	1488	916	1275	1307
"BMP10"	766	763	457	599
"BMP15"	0	178	187	0
"BMP2"	264	185	372	335
"BMP2K"	73	0	53	165
"BMP3"	0	0	1	0
"BMP4"	295	120	226	511
"BMP5"	1173	1073	1415	867
"BMP6"	1172	740	1047	1288
"BMP7"	20198	14769	18880	16986
"BMP8A"	125	74	106	0
"BMP8B"	6259	4574	6516	8240
"BMPER"	49	0	28	0
"BMPR1A"	405	561	627	437
"BMPR1B"	58	0	5	0
"BMPR2"	2391	7709	6301	6598
"BMX"	0	255	15	27
"BNC1"	1574	2476	3228	3636
"BNC2"	7127	4926	9376	9723
"BNIPL"	7	60	33	297
"BOC"	1228	832	1863	2392
"BOD1"	7677	5466	16165	7225
"BOD1L1"	202	289	57	1
"BOD1L2"	16140	9369	23912	18655
"BOK"	5738	5011	11955	8058
"BOLA1"	7	0	41	136
"BOLA2B"	458	662	68	662
"BOLA3"	0	88	18	78
"BOLL"	1420	1903	1397	2481
"BOP1"	121	0	881	241
"BORA"	305	277	32	391
"BPIFA1"	484	515	581	440
"BPIFA2"	4432	4819	6423	5180
"BPIFA3"	0	141	241	231
"BPIFB1"	1660	1757	894	1607
"BPIFB3"	404	372	348	389
"BPIFB4"	0	414	423	52
"BPIFB6"	213	135	313	237
"BPIFC"	87	253	7	107
"BPNT1"	3105	2897	1801	2706
"BPY2"	5826	6244	10146	10205
"BPY2B"	17	0	0	0
"BRAF"	1348	1055	932	1067
"BRCA2"	1476	1077	2489	1639
"BRCC3"	893	206	621	636
"BRD2"	21	0	20	0
"BRD8"	5228	4868	5887	7553
"BRDT"	0	403	509	457
"BRE"	176	0	0	76
"BRF1"	52	0	0	167
"BRI3"	4731	10312	11284	7781
"BRI3BP"	1246	1452	1638	1422
"BRICD5"	9956	9756	13921	11698
"BRINP1"	35	203	323	176
"BRINP2"	564	798	861	861
"BRINP3"	4372	3816	2516	4244
"BRIP1"	112	85	55	254
"BRMS1"	0	23	0	0
"BRPF3"	667	602	819	534
"BRSK1"	1097	512	1969	1724
"BRWD1"	373	505	38	549
"BSDC1"	2780	4293	4267	4016
"BSG"	932	437	722	620
"BSN"	270	382	375	48
"BSPH1"	442	1237	26	505
"BSPRY"	2245	2289	2344	2490
"BST1"	110	0	77	0
"BSX"	10087	9937	10890	10465
"BTAF1"	0	174	214	65
"BTBD1"	1021	742	343	546
"BTBD11"	86	46	152	86
"BTBD17"	4476	3679	3976	5246
"BTBD18"	1338	2069	2916	2527
"BTBD19"	5328	4319	4572	5821
"BTBD2"	1520	907	1251	1658
"BTBD3"	225	472	414	591
"BTBD7"	1475	1731	1209	1653
"BTBD8"	8725	13148	17313	13024
"BTC"	837	666	1200	485
"BTF3"	544	201	1486	649
"BTG1"	278	434	740	637
"BTG2"	9867	9282	9565	10856
"BTG3"	851	855	1489	780
"BTG4"	2238	2941	2917	5619
"BTK"	4111	2873	2533	3144
"BTLA"	3231	3558	2994	4389
"BTN1A1"	146	137	118	165
"BTN2A1"	47	0	80	56
"BTN2A2"	2494	2593	3860	4831
"BTN3A1"	1716	2681	1564	1644
"BTN3A2"	15662	20249	26723	21657
"BTN3A3"	152	245	431	251
"BTNL2"	291	505	260	308
"BTNL3"	2768	2481	4555	2763
"BTNL8"	28	0	0	0
"BTNL9"	3	65	143	116
"BTRC"	474	521	623	542
"BVES"	0	30	171	129
"BYSL"	197	145	308	284
"BZRAP1"	207	180	88	370
"C10orf10"	371	57	518	231
"C10orf105"	7198	8023	10356	9907
"C10orf107"	3824	2583	2626	2724
"C10orf111"	4	0	202	71
"C10orf113"	3	0	0	0
"C10orf120"	5808	2254	7828	4459
"C10orf131"	0	13	0	0
"C10orf142"	42	0	0	0
"C10orf32"	34417	37141	44110	48678
"C10orf35"	829	519	581	629
"C10orf54"	3876	2159	3773	2900
"C10orf55"	1426	1267	1612	1996
"C10orf62"	741	1216	1201	815
"C10orf67"	2576	5405	2074	3396
"C10orf71"	469	276	543	227
"C10orf76"	3364	2671	3553	4141
"C10orf82"	13134	9075	14615	13822
"C10orf90"	52	121	52	154
"C10orf91"	641	1692	1094	1221
"C10orf95"	9481	7608	10173	7057
"C11orf1"	484	1803	1381	1433
"C11orf16"	676	330	435	472
"C11orf21"	661	1273	1778	1617
"C11orf24"	1997	1527	5003	2287
"C11orf30"	1204	1131	909	1139
"C11orf40"	0	122	69	64
"C11orf42"	211	176	717	721
"C11orf44"	3486	1774	3490	3789
"C11orf45"	832	1068	628	731
"C11orf52"	6574	5591	4457	5998
"C11orf53"	17	84	16	83
"C11orf54"	381	302	230	636
"C11orf58"	228	1582	1161	1384
"C11orf63"	3957	4913	8337	6219
"C11orf68"	2435	2028	3514	2325
"C11orf70"	397	982	277	793
"C11orf71"	13925	13315	26290	17961
"C11orf73"	437	746	311	501
"C11orf74"	102	92	67	70
"C11orf80"	0	0	0	37
"C11orf84"	27	0	0	0
"C11orf85"	307	384	163	618
"C11orf86"	1046	554	296	349
"C11orf87"	2975	2635	5335	3887
"C11orf88"	1875	2375	1294	1536
"C11orf91"	1979	1424	2026	1829
"C11orf94"	1298	410	1209	965
"C11orf95"	427	91	1314	781
"C11orf96"	346	1	312	228
"C11orf98"	167	0	82	152
"C12orf29"	210	0	293	126
"C12orf4"	2113	2620	1955	2661
"C12orf50"	4621	5646	4780	6889
"C12orf57"	998	1744	2147	1589
"C12orf60"	15163	9626	15754	18436
"C12orf65"	1180	1158	1281	1292
"C12orf66"	1	0	36	38
"C12orf73"	1760	2272	3392	3224
"C12orf74"	74388	82892	91381	105481
"C12orf75"	0	104	115	82
"C12orf76"	7366	6978	4926	8345
"C12orf77"	385	968	203	325
"C12orf79"	752	237	674	1439
"C12orf80"	69	59	0	0
"C14orf1"	4681	4139	6984	5225
"C14orf105"	723	550	299	612
"C14orf119"	2715	1862	2720	4246
"C14orf132"	4789	4146	7657	4764
"C14orf159"	2913	2551	3086	3896
"C14orf166"	9451	6748	9849	10565
"C14orf169"	29	0	7	0
"C14orf177"	12	0	6	0
"C14orf178"	0	26	0	0
"C14orf180"	0	160	62	175
"C14orf2"	4358	1390	871	2380
"C14orf28"	318	80	442	258
"C14orf37"	51	0	0	0
"C14orf39"	27	87	4	0
"C14orf79"	351	1350	400	867
"C14orf80"	1176	784	1791	1175
"C15orf26"	485	383	490	339
"C15orf32"	703	0	226	246
"C15orf38-AP3S2"	0	544	69	134
"C15orf39"	214	128	303	134
"C15orf40"	1746	2360	1748	2590
"C15orf43"	2457	1713	1750	1295
"C15orf48"	1344	1263	783	1453
"C15orf53"	1229	1794	641	1786
"C15orf54"	289	443	308	186
"C15orf56"	1836	1916	1987	2156
"C15orf57"	19	0	0	0
"C15orf59"	2572	2933	4137	3029
"C15orf61"	646	425	582	448
"C15orf65"	1327	2632	1540	2148
"C16orf13"	0	0	39	36
"C16orf45"	1371	1119	1474	1073
"C16orf46"	51	0	6	0
"C16orf47"	111	2544	1095	783
"C16orf52"	236	0	122	229
"C16orf54"	8229	8771	9578	10363
"C16orf59"	127	134	120	438
"C16orf70"	2244	1470	2220	1894
"C16orf71"	2194	2571	1909	2905
"C16orf74"	28	0	133	0
"C16orf78"	1105	1673	776	1633
"C16orf82"	147	4592	6242	4072
"C16orf86"	4407	3777	5771	4377
"C16orf90"	128	0	97	82
"C16orf91"	673	1215	973	964
"C16orf95"	1415	941	1577	1359
"C16orf96"	376	189	126	179
"C16orf97"	0	0	11	0
"C17orf100"	1297	962	2096	1412
"C17orf102"	416	265	360	470
"C17orf107"	113	199	112	144
"C17orf112"	1480	724	1157	1211
"C17orf47"	517	708	569	623
"C17orf50"	689	1103	1393	961
"C17orf51"	1472	3331	687	2962
"C17orf58"	245	438	335	560
"C17orf59"	52	366	142	0
"C17orf62"	3811	8617	4911	6836
"C17orf64"	168	498	377	520
"C17orf74"	0	141	46	47
"C17orf75"	2521	2757	1990	3459
"C17orf78"	2193	1158	2497	1162
"C17orf82"	0	0	290	210
"C17orf85"	484	1180	901	801
"C17orf89"	38	123	457	376
"C17orf96"	121	236	280	56
"C17orf97"	403	222	193	340
"C17orf98"	971	406	1590	738
"C18orf25"	5081	5942	3870	6684
"C18orf32"	3828	3122	856	4038
"C18orf63"	654	270	439	338
"C18orf65"	6694	8163	12914	9744
"C19orf18"	172	234	431	174
"C19orf24"	506	1613	2754	870
"C19orf25"	478	994	1438	1392
"C19orf26"	845	1033	345	865
"C19orf33"	160	466	85	223
"C19orf35"	839	1444	1688	1084
"C19orf38"	896	892	1935	1138
"C19orf43"	2328	2615	4603	2738
"C19orf45"	1380	1494	3832	2419
"C19orf48"	177	109	419	230
"C19orf60"	3164	787	1601	1536
"C19orf67"	6763	5349	9946	8701
"C19orf68"	4296	3871	8226	4463
"C19orf70"	0	143	201	0
"C19orf71"	4615	3101	6173	5043
"C19orf73"	9881	7405	14292	8321
"C19orf80"	173	549	400	323
"C19orf81"	958	528	1534	2034
"C19orf84"	0	81	173	83
"C1GALT1C1"	1016	1301	507	1003
"C1GALT1C1L"	1880	2215	784	2711
"C1orf101"	1504	1586	2049	2215
"C1orf105"	218	61	211	282
"C1orf106"	3405	3301	2793	3072
"C1orf109"	3259	3598	3530	5483
"C1orf110"	4305	3455	4442	4414
"C1orf111"	371	814	163	212
"C1orf112"	2442	1029	2052	1406
"C1orf115"	0	40	190	0
"C1orf116"	970	619	1090	1303
"C1orf122"	0	0	0	8
"C1orf127"	972	1406	1542	1963
"C1orf131"	5747	3456	4351	3301
"C1orf137"	749	386	167	207
"C1orf141"	985	2239	566	1566
"C1orf158"	3061	2974	2685	3791
"C1orf159"	238	254	60	243
"C1orf162"	17	48	48	30
"C1orf167"	5877	5766	8163	6660
"C1orf168"	1724	1361	1566	1299
"C1orf174"	759	489	782	940
"C1orf177"	369	238	447	498
"C1orf185"	224	263	404	451
"C1orf186"	1779	828	2241	1755
"C1orf189"	268	1626	498	683
"C1orf194"	447	1079	69	836
"C1orf198"	2200	745	976	1468
"C1orf21"	244	269	292	281
"C1orf226"	2698	2845	1769	3037
"C1orf229"	4393	4273	4124	5342
"C1orf233"	685	962	1438	845
"C1orf43"	10586	13553	11406	19140
"C1orf50"	2441	2956	1333	3559
"C1orf52"	82	111	84	120
"C1orf53"	75	204	429	340
"C1orf54"	285	86	135	264
"C1orf56"	4160	4367	4262	6688
"C1orf61"	360	750	496	522
"C1orf64"	1382	1089	2612	1539
"C1orf68"	6089	3293	8028	6146
"C1orf86"	474	763	367	560
"C1orf87"	258	123	483	61
"C1orf94"	6302	6115	7865	8688
"C1orf95"	1157	280	940	1112
"C1QA"	8978	8975	2842	10418
"C1QB"	0	0	6	117
"C1QC"	1510	1299	4526	2102
"C1QL1"	4978	3726	6249	6504
"C1QL3"	3284	3649	4095	4602
"C1QL4"	78093	43358	113944	70670
"C1QTNF2"	1348	831	1771	1100
"C1QTNF4"	1708	2224	4608	3568
"C1QTNF6"	171	284	416	66
"C1QTNF8"	1111	494	894	1048
"C1QTNF9B"	0	0	8	0
"C1QTNF9B-AS1"	1211	1290	983	1212
"C1S"	154	0	8	58
"C2"	518	325	695	274
"C20orf141"	4637	3406	8056	6189
"C20orf144"	349	1125	1548	1077
"C20orf173"	238	0	248	130
"C20orf194"	7558	5276	10189	6646
"C20orf195"	35	379	714	390
"C20orf197"	1486	1709	1833	1864
"C20orf202"	2	0	0	0
"C20orf203"	6012	4506	14784	8600
"C20orf24"	814	402	1407	1168
"C20orf27"	207	601	1144	473
"C20orf78"	1384	1368	2676	2497
"C20orf85"	1107	192	367	473
"C21orf2"	680	628	298	746
"C21orf33"	2654	2818	4377	3387
"C21orf58"	0	0	10	48
"C21orf91"	26	0	0	0
"C22orf23"	0	210	14	0
"C22orf24"	14129	8621	23453	13836
"C22orf29"	69	1154	555	252
"C22orf31"	105	64	79	154
"C22orf34"	95	0	245	240
"C22orf39"	1056	1846	1440	2340
"C22orf42"	6512	5719	7214	6453
"C2CD2"	683	622	374	712
"C2CD2L"	405	164	647	431
"C2CD3"	352	77	168	417
"C2CD4A"	4957	5184	6445	5530
"C2CD4B"	1722	1915	4219	2561
"C2CD4C"	78	1	40	303
"C2CD4D"	729	46	191	462
"C2CD5"	0	45	237	105
"C2orf16"	4438	4828	1720	5405
"C2orf27A"	2871	3211	3961	3007
"C2orf40"	1043	781	709	456
"C2orf42"	2966	1970	2890	2200
"C2orf44"	2944	3775	1332	4387
"C2orf47"	1255	1018	2270	1320
"C2orf48"	2454	664	2258	2062
"C2orf49"	144	472	302	463
"C2orf50"	2740	1031	1088	1848
"C2orf54"	5015	4834	6638	5037
"C2orf57"	213	3287	2328	1506
"C2orf61"	0	0	39	129
"C2orf66"	337	591	316	149
"C2orf69"	0	61	0	122
"C2orf71"	47	60	115	0
"C2orf73"	81	281	53	262
"C2orf74"	105	3	150	176
"C2orf76"	5110	16578	5977	10549
"C2orf80"	482	658	175	224
"C2orf81"	11906	9571	7759	9413
"C2orf82"	404	404	787	381
"C2orf83"	423	889	359	815
"C2orf88"	6232	2876	3834	4998
"C2orf91"	5824	8033	7431	9263
"C3"	0	0	17	64
"C3AR1"	1443	659	1297	1766
"C3orf14"	623	711	395	653
"C3orf18"	406	511	445	364
"C3orf20"	271	0	25	0
"C3orf22"	1765	1386	1380	1189
"C3orf33"	3676	2811	2972	3768
"C3orf35"	162	183	279	391
"C3orf36"	1034	1030	1470	1283
"C3orf52"	772	191	1339	309
"C3orf56"	1380	1121	2496	1391
"C3orf58"	0	0	50	0
"C3orf62"	587	860	255	962
"C3orf67"	0	0	72	0
"C3orf70"	6504	6517	7823	8028
"C3orf79"	0	0	0	27
"C3orf80"	93	0	56	0
"C3orf84"	1236	1178	1581	1422
"C4A"	17269	9132	18882	14785
"C4B"	530	1873	3456	2205
"C4BPB"	408	531	783	723
"C4orf19"	1933	1797	1775	2255
"C4orf22"	10079	10187	13591	13766
"C4orf26"	915	707	1898	1524
"C4orf27"	1429	854	484	1313
"C4orf3"	10279	10256	15318	11662
"C4orf46"	295	0	57	174
"C4orf47"	0	0	9	84
"C4orf51"	481	378	447	1295
"C5"	1322	1104	780	1387
"C5AR1"	2114	912	881	1381
"C5AR2"	5185	5620	11179	6159
"C5orf22"	3893	4956	1966	5470
"C5orf24"	4147	4379	5005	3199
"C5orf28"	52	47	52	0
"C5orf30"	159	194	309	470
"C5orf34"	1703	1980	1083	1348
"C5orf42"	77	973	300	542
"C5orf46"	1080	2129	1760	1271
"C5orf47"	737	657	714	918
"C5orf49"	0	151	192	213
"C5orf51"	1383	1091	474	1909
"C5orf52"	83	121	303	0
"C5orf64"	11	206	69	83
"C5orf66"	228	452	279	674
"C5orf67"	1176	811	1433	1840
"C6"	47	108	75	22
"C6orf1"	3513	1876	4867	3927
"C6orf10"	350	581	254	545
"C6orf106"	38	0	42	69
"C6orf118"	593	99	322	295
"C6orf120"	649	646	953	854
"C6orf132"	2103	1802	2761	3554
"C6orf141"	2435	1499	3330	1985
"C6orf15"	0	0	0	59
"C6orf163"	2654	2298	1338	2707
"C6orf203"	196	122	345	109
"C6orf222"	250	211	150	548
"C6orf223"	0	325	373	392
"C6orf226"	7736	3686	6899	8514
"C6orf229"	0	533	108	134
"C6orf25"	902	1410	2905	1475
"C6orf47"	725	754	572	325
"C6orf48"	2839	2425	2662	3426
"C6orf52"	2754	2777	4387	2626
"C6orf62"	185	431	519	615
"C6orf7"	0	0	19	70
"C6orf89"	998	1053	1552	1424
"C6orf99"	1631	1933	2665	2816
"C7orf25"	680	463	1004	507
"C7orf31"	575	2801	581	1905
"C7orf33"	6406	4426	3797	5591
"C7orf43"	5217	4573	7778	5008
"C7orf49"	22	191	31	286
"C7orf50"	193	494	389	161
"C7orf55-LUC7L2"	83	0	0	0
"C7orf60"	55	0	56	0
"C7orf61"	1904	908	1405	1546
"C7orf66"	7505	10049	16214	11324
