transE_high_s47	transE_low_s45	transE_medium_s46	transE_pre_s48
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
165	0	7	223
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
46	53	319	609
0	0	0	0
951	807	1226	784
0	0	0	0
0	0	0	0
10	1808	754	706
0	0	0	0
0	0	0	64
0	0	19	62
2441	2124	1347	2260
1006	9476	4474	5250
0	0	0	0
0	0	0	0
811	904	1987	1466
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
4037	3269	4715	4833
0	0	0	0
0	0	0	0
0	0	0	0
1497	2019	3550	2801
0	0	0	0
0	0	0	0
0	0	0	0
1495	1111	1298	1919
0	0	0	0
42	0	79	242
0	0	0	0
0	0	0	0
0	0	0	0
594	415	325	371
0	0	0	0
0	0	0	0
3419	2664	2934	3867
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
2153	860	1439	2248
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
9378	7690	7025	10820
38	2031	2047	1357
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
173	197	269	98
0	0	0	0
0	0	0	0
0	0	0	0
0	0	19	0
0	0	0	0
38	437	169	61
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
29	0	0	31
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
630	707	286	460
0	0	0	0
0	0	1	1
0	0	0	0
0	0	0	0
44	90	95	0
0	0	0	0
3142	3527	4477	3328
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	100	0	0
0	0	0	0
0	0	0	48
0	0	0	0
0	0	0	0
0	0	0	0
251	176	509	556
0	0	0	0
0	0	0	0
2034	1744	1125	2410
0	0	0	0
4700	4258	11610	4212
0	0	0	0
0	0	0	0
0	0	32	83
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
79	0	203	74
0	0	0	0
0	0	0	0
52	85	53	78
0	0	0	0
0	0	0	0
0	0	0	0
173	358	254	393
0	0	5	0
0	0	0	0
0	0	0	0
0	0	134	0
0	73	0	0
558	896	788	699
0	0	0	0
0	0	0	0
